  QueueTimes | ServiceTimes | SojournTimes
       0.066 |        2.075 |        2.140
       0.076 |        2.201 |        2.277
       0.068 |        1.000 |        1.068
       0.147 |        0.403 |        0.550
       0.052 |        1.052 |        1.104
       0.080 |        1.624 |        1.704
       0.058 |        0.313 |        0.371
       0.074 |        0.979 |        1.053
       0.138 |        2.033 |        2.171
       0.121 |        0.212 |        0.333
       0.092 |        0.359 |        0.451
       0.166 |        0.937 |        1.103
       0.221 |        0.938 |        1.159
       0.114 |        0.668 |        0.782
       0.209 |        1.767 |        1.976
       0.065 |        0.698 |        0.763
       0.136 |        0.489 |        0.625
       0.135 |        2.411 |        2.546
       0.098 |        1.271 |        1.369
       0.122 |        0.446 |        0.568
       0.113 |        2.495 |        2.608
       0.156 |        0.345 |        0.501
       0.063 |        0.800 |        0.863
       0.124 |        1.377 |        1.500
       0.154 |        2.856 |        3.010
       0.085 |        1.561 |        1.646
       0.105 |        0.817 |        0.922
       0.140 |        0.832 |        0.972
       0.078 |        0.478 |        0.557
       0.080 |        0.571 |        0.651
       0.071 |        1.947 |        2.017
       0.074 |        1.177 |        1.252
       0.162 |        3.791 |        3.953
       0.085 |        2.751 |        2.836
       0.120 |        1.017 |        1.137
       0.097 |        0.640 |        0.737
       0.074 |        1.202 |        1.277
       0.072 |        0.479 |        0.551
       0.178 |        2.842 |        3.019
       0.097 |        0.828 |        0.925
       0.157 |        1.324 |        1.480
       0.059 |        1.554 |        1.613
       0.149 |        1.095 |        1.244
       0.092 |        0.354 |        0.446
       0.149 |        0.276 |        0.425
       0.070 |        0.651 |        0.720
       0.069 |        0.720 |        0.789
       0.141 |        0.389 |        0.530
       0.096 |        3.077 |        3.173
       0.084 |        2.433 |        2.517
       0.180 |        0.674 |        0.854
       0.091 |        0.410 |        0.502
       0.074 |        0.794 |        0.868
       0.155 |        0.834 |        0.988
       0.152 |        1.418 |        1.571
       0.116 |        0.423 |        0.539
       0.265 |        1.706 |        1.971
       0.268 |        0.916 |        1.184
       0.150 |        1.303 |        1.453
       0.284 |        0.857 |        1.141
       0.240 |        2.134 |        2.373
       0.127 |        3.066 |        3.193
       0.075 |        0.675 |        0.749
       0.131 |        0.420 |        0.551
       0.080 |        0.486 |        0.566
       0.082 |        1.634 |        1.716
       0.064 |        0.482 |        0.547
       0.121 |        0.505 |        0.626
       0.098 |        0.512 |        0.609
       0.078 |        0.785 |        0.863
       0.103 |        1.948 |        2.051
       0.076 |        1.206 |        1.282
       0.091 |        0.472 |        0.563
       0.109 |        1.631 |        1.740
       0.115 |        1.159 |        1.274
       0.072 |        1.403 |        1.476
       0.084 |        0.729 |        0.814
       0.061 |        0.470 |        0.531
       0.132 |        1.518 |        1.650
       0.073 |        1.369 |        1.442
       0.206 |        0.627 |        0.832
       0.082 |        0.787 |        0.869
       0.103 |        0.389 |        0.492
       0.163 |        2.141 |        2.304
       0.110 |        1.424 |        1.533
       0.110 |        0.379 |        0.489
       0.061 |        0.932 |        0.993
       0.063 |        0.641 |        0.703
       0.068 |        0.874 |        0.942
       0.080 |        1.538 |        1.618
       0.062 |        0.502 |        0.564
       0.100 |        0.355 |        0.455
       0.069 |        1.540 |        1.610
       0.088 |        3.437 |        3.525
       0.146 |        0.604 |        0.750
       0.094 |        0.519 |        0.613
       0.096 |        0.513 |        0.610
       0.066 |        0.691 |        0.757
       0.071 |        0.655 |        0.726
       0.176 |        0.675 |        0.851
       0.075 |        0.494 |        0.569
